table_name,column_name,metric_group,source_file_or_stage,computed_by,aggregation_level,definition,formula_or_logic,notes
per_query_summary.csv,Empowerment,answer_quality,evaluation,LLM judge or fixed baseline,per-query,该 query 上 empowerment 分数,同 method query 的所有 run Score 均值,缺失 judgement 时为空
per_query_summary.csv,Trustworthiness,answer_quality,evaluation,LLM judge or fixed baseline,per-query,该 query 上可信度分数,同 method query 的所有 run Score 均值,缺失 judgement 时为空
per_query_summary.csv,Depth,answer_quality,evaluation,LLM judge or fixed baseline,per-query,该 query 上深度分数,同 method query 的所有 run Score 均值,缺失 judgement 时为空
per_query_summary.csv,Density,answer_quality,evaluation,LLM judge or fixed baseline,per-query,该 query 上信息密度分数,同 method query 的所有 run Score 均值,缺失 judgement 时为空
per_query_summary.csv,Overall Score,answer_quality,evaluation,LLM judge or fixed baseline,per-query,该 query 上整体质量分,同 method query 的所有 run Score 均值,独立指标不是五维平均
per_query_summary.csv,evidence chars,evidence_system,answer generation,file metadata,per-query,传入 answer LLM 的 evidence context 字符数,len(evidence_context after truncation),来自 answer_metadata
per_query_summary.csv,LLM input token estimate,evidence_system,answer generation,token estimator,per-query,answer prompt 输入 token 估计,estimate_tokens(system + user prompt + evidence),不是 judge token
per_query_summary.csv,retrieved evidence count,evidence_system,evidence retrieval,adapter metadata,per-query,检索阶段返回的可用 evidence 数,来自 payload.retrieved_evidence_count,EVIQUE 和 adapter 口径被统一到 evidence payload
per_query_summary.csv,used evidence count,evidence_system,evidence retrieval,adapter metadata,per-query,最终使用到 evidence context 的 evidence 数,来自 payload.used_evidence_count,通常受 top-k 和 token budget 限制
per_query_summary.csv,avg query time,evidence_system,evidence retrieval,script timing,per-query,retrieval 或 adapter query 耗时,来自 payload.query_time_sec,不是 answer generation 或 judge 时间
per_query_summary.csv,index size,evidence_system,evidence retrieval,file count,per-query,method 索引大小 MB,来自 payload.index_size_mb,不同 adapter 可能为 0
per_query_summary.csv,answer path,metadata,answer generation,file path,per-query,answer 文件路径,来自 answer_metadata 或默认 answer_path,用于追踪 case study
comparison_summary.csv,method,metadata,evaluation,script aggregation,per-method,方法名,按 per_query_summary method 分组,DB_RAG_METHODS 顺序排序
comparison_summary.csv,method_fidelity,metadata,evaluation,script aggregation,per-method,方法接入保真度,取该 method 第一个非空值,不参与评分
comparison_summary.csv,query_count,metadata,evaluation,script aggregation,per-method,该 method 覆盖的去重 query 数,count distinct query_id,来自 per-query rows
comparison_summary.csv,answer_count,metadata,evaluation,file count,per-method,answer 文件存在数量,sum(Path(answer path).exists()),用于检查生成完整性
comparison_summary.csv,Comprehensiveness,answer_quality,evaluation,script aggregation,per-method,覆盖度均值,mean per-query Comprehensiveness,缺失值不计入
comparison_summary.csv,Empowerment,answer_quality,evaluation,script aggregation,per-method,empowerment 均值,mean per-query Empowerment,缺失值不计入
comparison_summary.csv,Trustworthiness,answer_quality,evaluation,script aggregation,per-method,可信度均值,mean per-query Trustworthiness,缺失值不计入
comparison_summary.csv,Depth,answer_quality,evaluation,script aggregation,per-method,深度均值,mean per-query Depth,缺失值不计入
comparison_summary.csv,Density,answer_quality,evaluation,script aggregation,per-method,信息密度均值,mean per-query Density,缺失值不计入
comparison_summary.csv,Overall Score,answer_quality,evaluation,script aggregation,per-method,整体质量均值,mean per-query Overall Score,不是五维平均
comparison_summary.csv,evidence chars,evidence_system,evaluation,script aggregation,per-method,evidence context 字符数均值,mean per-query evidence chars,衡量上下文规模
comparison_summary.csv,LLM input token estimate,evidence_system,evaluation,script aggregation,per-method,answer prompt token 估计均值,mean per-query LLM input token estimate,衡量传给 answer LLM 的输入规模
comparison_summary.csv,retrieved evidence count,evidence_system,evaluation,script aggregation,per-method,检索 evidence 数均值,mean per-query retrieved evidence count,用于比较检索召回规模
comparison_summary.csv,used evidence count,evidence_system,evaluation,script aggregation,per-method,使用 evidence 数均值,mean per-query used evidence count,用于比较压缩和筛选后规模
comparison_summary.csv,avg query time,evidence_system,evaluation,script aggregation,per-method,retrieval 或 adapter query 平均耗时,mean per-query avg query time,不含 answer LLM 和 judge
comparison_summary.csv,index size,evidence_system,evaluation,script aggregation,per-method,索引大小均值,mean per-query index size,单位 MB
comparison_summary.csv,answer path,metadata,evaluation,file path,per-method,method answer 目录,Path(first answer path).parent,用于定位输出
evidence_summary.csv,dataset,metadata,evidence retrieval,script aggregation,per-query,数据集名称,来自 query,pipeline 中间表
evidence_summary.csv,query_id,metadata,evidence retrieval,script aggregation,per-query,query 标识,来自 query,pipeline 中间表
evidence_summary.csv,method,metadata,evidence retrieval,script aggregation,per-query,方法名,当前 adapter 或 EVIQUE,pipeline 中间表
evidence_summary.csv,method_fidelity,metadata,evidence retrieval,adapter metadata,per-query,方法接入保真度,来自 payload.method_fidelity,透明性字段
evidence_summary.csv,status,evidence_system,evidence retrieval,adapter metadata,per-query,evidence retrieval 状态,ok no_evidence adapter_error 等,用于诊断不直接评分
evidence_summary.csv,evidence chars,evidence_system,evidence retrieval,script aggregation,per-query,evidence context 字符数,len(context_text),中间 evidence context 规模
evidence_summary.csv,LLM input token estimate,evidence_system,evidence retrieval,token estimator,per-query,evidence context token 估计,truncate_to_token_budget 返回值,此处是 evidence token estimate 不是完整 answer prompt
evidence_summary.csv,retrieved evidence count,evidence_system,evidence retrieval,adapter metadata,per-query,检索到的 evidence 数,len(ok_rows) 或 package retrieved_count,中间检索规模
evidence_summary.csv,used evidence count,evidence_system,evidence retrieval,adapter metadata,per-query,最终保留 evidence 数,len(ok_rows[:top_k]) 或 package used_count,受 top-k 限制
evidence_summary.csv,avg query time,evidence_system,evidence retrieval,script timing,per-query,retrieval 或 adapter query 时间,_query_time(rows) 或 retriever elapsed,不含 answer generation
evidence_summary.csv,index size,evidence_system,evidence retrieval,file count,per-query,索引大小 MB,directory_size_mb 或 adapter index_metadata,可能为 0
evidence_summary.csv,evidence path,metadata,evidence retrieval,file path,per-query,evidence JSON 相对路径,evidence_json_path,用于定位原始 evidence
raw_json,quantitative_judgements.json,raw_judgement,evaluation,LLM judge or fixed baseline,per-answer-run,quantitative 原始 judgement,key 为 query_id::method::runN value 为 metric Score Explanation,EVIQUE baseline 默认固定 Score 3
raw_json,winrate_judgements.json,raw_judgement,evaluation,LLM judge,per-pair-query-run-order,win-rate 原始 judgement,key 为 query_id::model_a::vs::model_b::runN::order value 为 metric Winner Explanation,order 为 ori 或 rev
