path,size,category,keep_or_exclude,release_destination,reason,license_status,contains_old_name,contains_hardcoded_path,contains_sensitive_information
db_benchmark/registry.py,9426,evaluation,keep,db_benchmark/registry.py,included as db_benchmark/registry.py,first_party_license_pending,true,false,false
db_benchmark/schema.py,10410,evaluation,keep,db_benchmark/schema.py,included as db_benchmark/schema.py,first_party_license_pending,false,false,false
db_benchmark/utils.py,4719,evaluation,keep,db_benchmark/utils.py,included as db_benchmark/utils.py,first_party_license_pending,false,false,false
db_benchmark/__init__.py,78,evaluation,keep,db_benchmark/__init__.py,included as db_benchmark/__init__.py,first_party_license_pending,false,false,false
evigraph/builder.py,55007,core_source,keep,evique/builder.py,included as evique/builder.py,first_party_license_pending,true,false,true
evigraph/cost_planner.py,12534,core_source,keep,evique/cost_planner.py,included as evique/cost_planner.py,first_party_license_pending,true,false,true
evigraph/event_segmenter.py,29059,core_source,keep,evique/event_segmenter.py,included as evique/event_segmenter.py,first_party_license_pending,true,false,true
evigraph/evidence_packer.py,70887,core_source,keep,evique/evidence_packer.py,included as evique/evidence_packer.py,first_party_license_pending,true,false,true
evigraph/planner.py,25249,core_source,keep,evique/planner.py,included as evique/planner.py,first_party_license_pending,true,false,true
evigraph/retriever.py,240971,core_source,keep,evique/retriever.py,included as evique/retriever.py,first_party_license_pending,true,false,true
evigraph/schema.py,3691,core_source,keep,evique/schema.py,included as evique/schema.py,first_party_license_pending,true,false,false
evigraph/solo_asr.py,6559,core_source,keep,evique/solo_asr.py,included as evique/solo_asr.py,first_party_license_pending,true,false,true
evigraph/solo_caption.py,5416,core_source,keep,evique/solo_caption.py,included as evique/solo_caption.py,first_party_license_pending,true,false,true
evigraph/solo_chunking.py,5114,core_source,keep,evique/solo_chunking.py,included as evique/solo_chunking.py,first_party_license_pending,true,false,true
evigraph/solo_video.py,7405,core_source,keep,evique/solo_video.py,included as evique/solo_video.py,first_party_license_pending,true,false,false
evigraph/standalone_base_builder.py,13617,core_source,keep,evique/standalone_base_builder.py,included as evique/standalone_base_builder.py,first_party_license_pending,true,false,true
evigraph/utils.py,6561,core_source,keep,evique/utils.py,included as evique/utils.py,first_party_license_pending,true,false,true
evigraph/video_identity.py,9048,core_source,keep,evique/video_identity.py,included as evique/video_identity.py,first_party_license_pending,true,false,false
evigraph/view_stats.py,6573,core_source,keep,evique/view_stats.py,included as evique/view_stats.py,first_party_license_pending,true,false,true
evigraph/visual_builder.py,30319,core_source,keep,evique/visual_builder.py,included as evique/visual_builder.py,first_party_license_pending,true,false,false
evigraph/visual_compactor.py,36896,core_source,keep,evique/visual_compactor.py,included as evique/visual_compactor.py,first_party_license_pending,true,false,false
evigraph/__init__.py,510,core_source,keep,evique/__init__.py,included as evique/__init__.py,first_party_license_pending,true,false,false
RAG_Baselines/NaiveRAG.py,50027,experiment_runner,keep,rag_baselines/NaiveRAG.py,included as rag_baselines/NaiveRAG.py,first_party_license_pending,true,false,true
RAG_Baselines/TextVideoRAG.py,10471,experiment_runner,keep,rag_baselines/TextVideoRAG.py,included as rag_baselines/TextVideoRAG.py,first_party_license_pending,false,false,true
__pycache__/db_rag_pipeline_common.cpython-313.pyc,45071,cache,exclude,,python bytecode cache,not_release_artifact,false,false,false
__pycache__/evaluate_db_rag_answers.cpython-313.pyc,24247,cache,exclude,,python bytecode cache,not_release_artifact,false,false,false
__pycache__/generate_db_rag_answers.cpython-313.pyc,15201,cache,exclude,,python bytecode cache,not_release_artifact,false,false,false
__pycache__/merge_db_rag_4dataset_results.cpython-313.pyc,6580,cache,exclude,,python bytecode cache,not_release_artifact,false,false,false
__pycache__/merge_evigraph_ablation_results.cpython-313.pyc,7113,cache,exclude,,python bytecode cache,not_release_artifact,true,false,false
__pycache__/normalize_db_rag_queries.cpython-313.pyc,3557,cache,exclude,,python bytecode cache,not_release_artifact,false,false,false
__pycache__/run_db_baseline_comparison.cpython-313.pyc,14718,cache,exclude,,python bytecode cache,not_release_artifact,false,false,false
__pycache__/run_db_baseline_evidence_retrieval.cpython-313.pyc,25040,cache,exclude,,python bytecode cache,not_release_artifact,false,false,false
__pycache__/run_evigraph_ablation_db_rag.cpython-313.pyc,33612,cache,exclude,,python bytecode cache,not_release_artifact,true,false,false
__pycache__/run_rag_comparison.cpython-313.pyc,243593,cache,exclude,,python bytecode cache,not_release_artifact,false,false,false
__pycache__/watch_db_rag_progress.cpython-313.pyc,8145,cache,exclude,,python bytecode cache,not_release_artifact,false,false,false
RAG_Baselines/GraphRAG/.gitattributes,207,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/GraphRAG/.gitignore,808,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/GraphRAG/.vsts-ci.yml,954,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/GraphRAG/breaking-changes.md,9702,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/GraphRAG/CHANGELOG.md,17864,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/GraphRAG/CODEOWNERS,282,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/GraphRAG/CODE_OF_CONDUCT.md,444,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/GraphRAG/CONTRIBUTING.md,4723,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/GraphRAG/cspell.config.yaml,671,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/GraphRAG/DEVELOPING.md,5303,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/GraphRAG/dictionary.txt,1789,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/GraphRAG/LICENSE,1141,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/GraphRAG/mkdocs.yaml,3641,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/GraphRAG/pyproject.toml,9087,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/GraphRAG/RAI_TRANSPARENCY.md,5114,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/GraphRAG/README.md,4574,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/GraphRAG/RELEASE.md,5802,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/GraphRAG/SECURITY.md,2687,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/GraphRAG/SUPPORT.md,915,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/GraphRAG/uv.lock,631979,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/.dockerignore,809,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/.gitattributes,72,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/.gitignore,1223,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/.pre-commit-config.yaml,739,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/AGENTS.md,17494,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/CLAUDE.md,42,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/config.ini.example,1216,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/docker-build-push.sh,2096,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/docker-compose-full.yml,7261,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docker-compose.podman.yml,1301,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/docker-compose.yml,748,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/Dockerfile,3787,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/Dockerfile.lite,3714,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/env.docker-compose-full,37302,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/env.example,47349,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/LICENSE,1091,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/lightrag.service.example,771,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/Makefile,4881,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/MANIFEST.in,183,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/pyproject.toml,5260,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/README-zh.md,23819,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/README.md,25246,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/requirements-offline-llm.txt,817,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/requirements-offline-storage.txt,776,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/requirements-offline.txt,1014,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/SECURITY.md,990,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/setup.py,140,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/uv.lock,1130202,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/.gitignore,178,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/LICENSE,5319,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/README.md,13132,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/run_rag_comparison.py,30037,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/VideoRAG.png,428134,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/VideoRAG_cover.png,2484339,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/videorag_longervideos.py,2703,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/__pycache__/NaiveRAG.cpython-313.pyc,65291,cache,exclude,,python bytecode cache,not_release_artifact,false,false,false
RAG_Baselines/__pycache__/TextVideoRAG.cpython-313.pyc,13826,cache,exclude,,python bytecode cache,not_release_artifact,false,false,false
RAG_Baselines/VideoRAG-algorithm/examples/process_videos_deepseek.py,871,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/examples/query_videos_deepseek.py,1047,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/longervideos/dataset.json,136821,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/longervideos/download.sh,700,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/longervideos/prepare_data.py,632,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/notesbooks/videorag.ipynb,2920,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/videorag/base.py,4124,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/videorag/prompt.py,22614,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/videorag/videorag.py,15491,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/videorag/_llm.py,16992,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/videorag/_op.py,34711,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/videorag/_splitter.py,3544,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/videorag/_utils.py,6473,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/videorag/__init__.py,42,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/videorag/_storage/gdb_neo4j.py,13648,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/videorag/_storage/gdb_networkx.py,9440,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/videorag/_storage/kv_json.py,1360,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/videorag/_storage/vdb_hnswlib.py,5079,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/videorag/_storage/vdb_nanovectordb.py,5361,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/videorag/_storage/__init__.py,239,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/videorag/_videoutil/asr.py,3701,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/videorag/_videoutil/caption.py,4763,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/videorag/_videoutil/feature.py,913,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/videorag/_videoutil/split.py,3435,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/videorag/_videoutil/__init__.py,240,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/videorag/__pycache__/videorag.cpython-313.pyc,18282,cache,exclude,,python bytecode cache,not_release_artifact,false,false,false
RAG_Baselines/VideoRAG-algorithm/videorag/__pycache__/__init__.cpython-313.pyc,263,cache,exclude,,python bytecode cache,not_release_artifact,false,false,false
RAG_Baselines/VideoRAG-algorithm/reproduce/quantitative_comparison/batch_quant_eval_calculate.py,3293,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/reproduce/quantitative_comparison/batch_quant_eval_download.py,1429,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/reproduce/quantitative_comparison/batch_quant_eval_parse.py,3286,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/reproduce/quantitative_comparison/batch_quant_eval_upload.py,6617,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/reproduce/winrate_comparison/batch_winrate_eval_calculate.py,4276,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/VideoRAG-algorithm/reproduce/winrate_comparison/batch_winrate_eval_download.py,1413,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/reproduce/winrate_comparison/batch_winrate_eval_parse.py,3317,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/VideoRAG-algorithm/reproduce/winrate_comparison/batch_winrate_eval_upload.py,7124,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/.clinerules/01-basic.md,11753,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/.git/config,329,cache,exclude,,nested third-party git object,not_release_artifact,false,false,false
RAG_Baselines/LightRAG/.git/description,73,cache,exclude,,nested third-party git object,not_release_artifact,false,false,false
RAG_Baselines/LightRAG/.git/HEAD,21,cache,exclude,,nested third-party git object,not_release_artifact,false,false,false
RAG_Baselines/LightRAG/.git/index,63282,cache,exclude,,nested third-party git object,not_release_artifact,false,false,true
RAG_Baselines/LightRAG/.git/packed-refs,6184,cache,exclude,,nested third-party git object,not_release_artifact,false,false,false
RAG_Baselines/LightRAG/.github/CONTRIBUTING.md,5016,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/.github/dependabot.yml,5701,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/.github/pull_request_template.md,764,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/assets/LiteWrite.png,510236,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/assets/logo.png,182929,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/docs/AdvancedFeatures.md,8657,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/Algorithm.md,548,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/docs/AsymmetricEmbedding.md,7424,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/docs/DockerDeployment.md,10560,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/FileProcessingPipeline-zh.md,73939,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/FileProcessingPipeline.md,85360,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/FrontendBuildGuide.md,5878,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/docs/InteractiveSetup.md,10997,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/LightRAG-API-Server-zh.md,55566,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/LightRAG-API-Server.md,60167,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/LightRAGSidecarFormat-zh.md,25539,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/LightRAGSidecarFormat.md,29112,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/MilvusConfigurationGuide.md,7053,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/docs/MultiSiteDeployment.md,17878,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/OfflineDeployment.md,9821,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/ParagraphSemanticChunking-zh.md,23476,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/ParagraphSemanticChunking.md,28628,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/ParserDebugCLI-zh.md,7660,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/ParserDebugCLI.md,8621,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/ProgramingWithCore.md,41845,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/Reproduce.md,8689,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/RoleSpecificLLMConfiguration-zh.md,16631,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/RoleSpecificLLMConfiguration.md,17679,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/docs/UV_LOCK_GUIDE.md,5716,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
RAG_Baselines/LightRAG/examples/generate_query.py,1791,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,true
RAG_Baselines/LightRAG/examples/graph_visual_with_html.py,853,third_party,exclude,,external RAG repository or asset,third_party_license_unclear_or_external,false,false,false
